肯定是抑郁了😅  	肯定是抑郁了😅
对鼠鼠们的提问  	我好奇一个事儿，如果差距加大，你们吃不上饭了的话，还会不会继续躺平阴阳怪气呢🤔
对鼠鼠们的提问  	饭都吃不上该干什么不用我多说了吧
对鼠鼠们的提问  	哈哈，钓鱼
对鼠鼠们的提问  	还不是你不努力
对鼠鼠们的提问  	别的倒不至于这么严重，吃不起饭那只有一条路了
对鼠鼠们的提问  	当你吃不饱的时候，你什么都能干出来，具体干什么我不说
对鼠鼠们的提问  	都吃不上饭了，那时候该吃什么就不用说了吧……
对鼠鼠们的提问  	你发这个什么目的
对鼠鼠们的提问  	我是说，躺平吃不上，工地搬砖照常发，你们还会不会觉得人生没有意义
对鼠鼠们的提问  	突刺！
对鼠鼠们的提问  	re
对鼠鼠们的提问  	当然是挺进破坏者
对鼠鼠们的提问  	两个都不带造🍚的，地里拔点草根当小菜，吃完躺地上就睡，美滋滋
对鼠鼠们的提问  	今亡亦死，举大计亦死
对鼠鼠们的提问  	现在网络这么发达，吃不上饭？你以为还像60年前？
离谱，我是六娃  	视频来自：百度贴吧
怎么回事呢  	今年普利策奖发给拍这张照片的吧😅
一声长叹  	有学历的都这样……怎么回事啊！
一声长叹  	自顶
一声长叹  	心塞
一声长叹  	难过
一声长叹  	光芒何时照向地面
一声长叹  	写满了2个字：哪两个字
一声长叹  	有人说看到这样的事，说我不管自己的事。但是如果都没反应那就不会有反应了。
一声长叹  	好无力呀
一声长叹  	但是我也觉得这样太过了啊啊啊啊……
一声长叹  	微薄上能看到这事
一声长叹  	听说明天公布7普？
一声长叹  	也只能叹息了
一声长叹  	啊这
一声长叹  	早就赢嘛了
一声长叹  	又赢了✌️
我发表了一篇图片贴，大伙来看看吧~  	下面那俩🐶都不要
我发表了一篇图片贴，大伙来看看吧~  	下边那俩擦屁股都嫌糙
我发表了一篇图片贴，大伙来看看吧~  	润了？
这波怎么说  	这波怎么说
这波怎么说  	挺正常的一个工地事故吧
求真求实，至善至美  	能活几分钟
求真求实，至善至美  	被吞
大家谁还有这种图，尽管发出来分享一下  	活该
大家谁还有这种图，尽管发出来分享一下  	支持
大家谁还有这种图，尽管发出来分享一下  	没有进社会磨砺一番，学生是最没用资格指导他人的
大家谁还有这种图，尽管发出来分享一下  	问题是我也没看到这无休止的劳动给普通劳动者带来什么未来。
大家谁还有这种图，尽管发出来分享一下  	我要看丁真😭我要看丁真😭我要看丁真😭我要看丁真😭我要看丁真😭我要看丁真😭我要看丁真😭
大家谁还有这种图，尽管发出来分享一下  	把学生微小的优势放大到不可追赶
大家谁还有这种图，尽管发出来分享一下  	发了立马被删了
大家谁还有这种图，尽管发出来分享一下  	哈哈，这是兔的杂
大家谁还有这种图，尽管发出来分享一下  	哈哈哈哈太淦了
大家谁还有这种图，尽管发出来分享一下  	你脚下的这片热土拥有世界第一公路里程13.1万公里拥有世界第一高铁里程2.2万公里拥有世界第一光缆里程3041万公里拥有世界第一移动支付金额208万亿拥有世界第一的人才资源1.75亿人拥有世界第一发明申请量＞100万拥有世界第一年均脱贫量1391万人拥有世界第二科研费用1.57万亿拥有世界第一的架桥技术拥有世界第一的巨型水电站建设技术拥有世界第一的高原铁路建设技术拥有世界第一的量子通讯技术拥有世界第一的高铁及动车建造技术拥有世界第一的特高压输电技术拥有世界第一的激光技术拥有世界第一的超级计算机技术拥有世界第一的陶瓷生产技术世界前10斜拉桥中国占7座世界10个超大港口中国占7个世界前10悬索桥中国占6个GDP超过万亿的城市中国占12个中国目前城镇化已达到57.35％这就是你的祖国，这就是你的家有五星红旗飘扬的地方，就是家的地方那个曾经被视为落后腐朽代名词的中国早已不复返那个曾被视为东亚病夫的中国早已一去不复返那个曾被西方各国随意欺辱的中国早已一去不复返那个曾被各国垄断技术的中国早已一去不复返那个十万青年热血砌出来的钢铁中华将长久傲立于东方中国在国际上面对非难的从容不迫彰显出了大国实力和魄力她正以稳健的步伐迈向一个崭新而辉煌的时代我们爱国人身后都一面红旗，她的名字叫中国🇨🇳
不懂就问，左上角是那个名族？  	印度妹妹跟凯尔特红毛都有
蚌埠住啦  	这波很难蚌住
还有人记得这事吗  	还有人记得这事吗
还有人记得这事吗  	记得是记得，但不是已经“确诊”精神病还是抑郁症了吗，记得又能怎么样呢
每个人都有什么的权利.JPG  	从根源上解决问题了属于事
鼠人们  祝我早日实现财富自由吧  	就看明天早上涨不涨了
鼠人们  祝我早日实现财富自由吧  	人呢
鼠人们  祝我早日实现财富自由吧  	昨天11点半开了个50X合约做多狗狗币，分分钟被教育
鼠人们  祝我早日实现财富自由吧  	赚了1w美滋滋
目前战绩 什么水平  	艾呀，梅事的，疣什么啊
目前战绩 什么水平  	那种比较爽
目前战绩 什么水平  	兄啊，不怕中招？
目前战绩 什么水平  	什么烂裤裆
目前战绩 什么水平  	随便打个字就是真的了是吧😅图呢？
目前战绩 什么水平  	1个艾梓
目前战绩 什么水平  	我哺乳动物除了狮子老虎豹子，其他都玩过，还有蛇
目前战绩 什么水平  	Pc大概五六十，酒吧无，yp无，女朋友一个，无处
听说监控又出问题了  	😅😅😅
听说监控又出问题了  	别尬黑，🤗摄像头心善，看不了这些
听说监控又出问题了  	楼上说的对，我们的监控不会眼睁睁看着他出事的
听说监控又出问题了  	至善至美
14.1亿，嘻嘻  	生育政策取得了显著成效
14.1亿，嘻嘻  	我的心中只有感恩😅
14.1亿，嘻嘻  	精准控制人口，期待2030第一次人口普查
终于来了  	我信你个鬼😅
终于来了  	0-14有几个自然数
终于来了  	又赢了
终于来了  	谁信啊
终于来了  	没有楼上那么离谱，虽然也很离谱，按正常死亡率来算，2020年到现在得出生2000多万。
终于来了  	责任在美方
终于来了  	就这些数据迟了快一个月，就问是办事效率低还是有别的原因？
终于来了  	世界第一
终于来了  	别发了，删不过来了。。。
终于来了  	赢了
终于来了  	我都不知道关注这个有什么意思，遮遮掩掩的本身就已经说明问题了，人家公布的结果不如你们所愿又不舒服，巴黎和会上你动嘴巴人家就会给你山东吗？搞笑
终于来了  	喜大普奔
属于个人行为，真把大家都当傻子是吧？  	诶没事，就是死着玩。
属于个人行为，真把大家都当傻子是吧？  	冲一波热度
属于个人行为，真把大家都当傻子是吧？  	不会真有人不知道跳楼是小孩子的休闲娱乐方式吧？不会吧？
属于个人行为，真把大家都当傻子是吧？  	嘿，有学咱不上，就跳，就死着玩
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	是我把老哥们干沉默了吗？
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	？
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	你是想说gdp的话暴增是加入wto那年才开始，此前一直在平稳增长
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	我现在寄吧都没有，买个房得百年奋斗目标过去除了半闭关，我都能贴大字报，为什么不呢
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	但现在确实不行
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	m燃起来了，看我亩产翻十倍
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	《左左右右回去回去我就是朝前看一眼》
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	还是小命重要，去了在半路都被人埋了
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	吞的还挺多
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	现在的生产力加当时的生产关系和上层建筑久可以，本来想回去的人就没羡慕那时的生产力的。
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	因为说胡话的都是反串的
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	保证吃饭没问题的情况下我还真想回去。目前服务业996，工资还没发，饭都吃不起了，现在一天就一顿饭加点小零食
老哥们一个一个说的挺嗨，到底有几个人敢回去?  	不想回去只想run
如何评价清华图书馆借书排行榜前三  	好起来了
如何评价清华图书馆借书排行榜前三  	它们越来越怕喽，疯狂删封禁
如何评价清华图书馆借书排行榜前三  	好
如何评价清华图书馆借书排行榜前三  	去读书
如何评价清华图书馆借书排行榜前三  	好！
如何评价清华图书馆借书排行榜前三  	好
如何评价清华图书馆借书排行榜前三  	为中华崛起而读书😅😅😅😅
如何评价清华图书馆借书排行榜前三  	降临派是吧
如何评价清华图书馆借书排行榜前三  	第五卷呢？
如何评价清华图书馆借书排行榜前三  	好！
如何评价清华图书馆借书排行榜前三  	好
如何评价清华图书馆借书排行榜前三  	xjsj
如何评价清华图书馆借书排行榜前三  	别尬黑，其他的也配叫书？
如何评价清华图书馆借书排行榜前三  	别尬黑，人家是准备去建设美利坚的
我一个朋友的沙口故事  	大嘠伙怎么看😅
我一个朋友的沙口故事  	来个老哥骂醒他
我一个朋友的沙口故事  	“如何评价”
我一个朋友的沙口故事  	单机贴吧没人么
我一个朋友的沙口故事  	单机贴吧
我一个朋友的沙口故事  	别骂了，别骂了
我一个朋友的沙口故事  	人不沙口枉少年
团团里有内鬼  	精选评论该更新字库了
团团里有内鬼  	红红火火恍恍惚惚
团团里有内鬼  	我看了一下竟然是知道蚌埠住了
团团里有内鬼  	可能是团团也蚌埠住了
团团里有内鬼  	稳中向好、稳步增长、稳定有序、稳中有进、稳定和谐、稳步发展、总体稳定、欣欣向荣。
团团里有内鬼  	不要过度解读，字面意思
团团里有内鬼  	不一定，现在菟友偷了不少梗。
团团里有内鬼  	局势一片大好
团团里有内鬼  	哈哈哈哈
团团里有内鬼  	@ლ泽木ლ
团团里有内鬼  	其实这个梗火了以后，有很多不懂意思玩烂梗的人。我甚至在b站官方翻译的字幕里看到“赢麻了”。其实想表达的意思是赢了。
团团里有内鬼  	蒸蒸日上
团团里有内鬼  	很荣幸
哈哈，  	属实令人暖心😅
哈哈，  	美国确实挺容易抑郁的，主要就是闲的慌。当时我有大半年就有丶轻度
哈哈，  	人家是闲的，咱们是忙的
哈哈，  	😅
哈哈，  	🇺🇸：我瘦死了？
哈哈，  	没有佳士科技暖
哈哈，  	上次说北欧，这次又说美国，估计是假数据
哈哈，  	猪都在赢麻了
哈哈，  	不得不承认咱们整天996跟猪一样哪有时间抑郁啊。
哈哈，  	不查应该就不会统计到吧。毕竟小丑都有心理医生，可以拿政府拨款的药。
哈哈，  	位置不保？美国现在还是世界第一何时被超越？
哈哈，  	抑郁是因为夜里没的玩
哈哈，  	不明白，两个zz团体作斗争，旗下的奴隶倒是跳出来作无产阶级内斗，斗得还挺积极
黑子们，要失望哭了  	🤗🤗🤗
黑子们，要失望哭了  	怎么哪里都有你，阿中哥哥遇上你简直是福分
黑子们，要失望哭了  	平均年龄蹦40了
上次丁针爆火是发生了什么事来着  	群众的记性真的不好啊
上次丁针爆火是发生了什么事来着  	屈原
上次丁针爆火是发生了什么事来着  	为了郭嘉牺牲你们一下
黑幕？一眼假！  	蜀人是这样的
黑幕？一眼假！  	加速加速
黑幕？一眼假！  	没直接给你火化不错了
黑幕？一眼假！  	理塘顶真呢？出来洗地了
黑幕？一眼假！  	为啥强调190？死有余辜
黑幕？一眼假！  	先赢了再说
黑幕？一眼假！  	普利策奖应该，这个事和对面的8个字对比一哈
黑幕？一眼假！  	丁针呢？救一下啊😓
黑幕？一眼假！  	别尬黑，学校至善至美
如果没有家庭  	是不是现在我们生活会更好？
如果没有家庭  	正是因为家庭才公有制吧
如果没有家庭  	😅还没学会走路就想上太空是吧
如果没有家庭  	想真正的公平，人类做不到
如果没有家庭  	这好比你在封建社会就想着搞安一样，太超前了，跟空想没区别
如果没有家庭  	什么
如果没有家庭  	什么马督工？😅😅😅
如果没有家庭  	那还有人愿意生吗？😅
如果没有家庭  	🐎💰🦶？
如果没有家庭  	什么新世界
如果没有家庭  	流水线批量生产是吧😅
如果没有家庭  	舍本逐末，而且一逐就是踩最大的雷
如果没有家庭  	先把爷的农村户口给解决了再说吧。
如果没有家庭  	什么商品
如果没有家庭  	要分清生产资料和生活资料啊同志
这是清华大学的吧吗？一进来和走错地方了一样。  	这是清华大学的吧吗？一进来和走错地方了一样。
这是清华大学的吧吗？一进来和走错地方了一样。  	为啥有人回复了这里却不显示
境外势力摸黑，提高警惕  	境外势力摸黑，提高警惕
火锅！又是火锅！总是火锅！  	上一赛年的冠军今年继续卫冕，属实赢麻了！赵雷镇楼！
火锅！又是火锅！总是火锅！  	抗蛆头子杀疯了，疯狂删帖
火锅！又是火锅！总是火锅！  	班德尔城在去年夺冠后根本不松懈，已经锁定今年的总冠军了，二连冠预订
火锅！又是火锅！总是火锅！  	毕竟是家乡
今年感觉这种事情突然变得频繁了  	前不久一个杀老板的，一个劫持学生的……这才过了多久啊，以前一年都看不到一个这种新闻
今年感觉这种事情突然变得频繁了  	大的要来了
今年感觉这种事情突然变得频繁了  	什么美国新闻
今年感觉这种事情突然变得频繁了  	这下喜笑颜开了
今年感觉这种事情突然变得频繁了  	自由美利坚，枪击每一天！啊，是sh啊那没事了
今年感觉这种事情突然变得频繁了  	根据美国约翰斯•霍普金斯大学实时统计数据，美国已经有3千万人感染……
今年感觉这种事情突然变得频繁了  	上天想踩刹车耐不住下面个个想加速啊
今年感觉这种事情突然变得频繁了  	火是不能灭火的~！
今年感觉这种事情突然变得频繁了  	之前广西幼儿园忘了吗，连捅十几个
今年感觉这种事情突然变得频繁了  	精分罢了
今年感觉这种事情突然变得频繁了  	多来点，就爱看这个
今年感觉这种事情突然变得频繁了  	我化为手机怎么黑屏了
今年感觉这种事情突然变得频繁了  	杀翻
今年感觉这种事情突然变得频繁了  	以前没网，传媒也就报纸电现，80年代比这哈人得多，土炸弹土gun真人gta
想再脏是吧差不多得了  	😅
想再脏是吧差不多得了  	先赢了再说🏃🏻
孩子心地善良 不想给别人造成不良影响 故意选的没监控地方跳楼  	我不会说话。。。他们实在是。。实在是太好了😭😭😭😭😭😭😭这不评个全国最美教师的话不足以服众啊😭😭😭😭
孩子心地善良 不想给别人造成不良影响 故意选的没监控地方跳楼  	#丁真白t造型游西湖#
今日首绷😅  	今日首绷😅
今日首绷😅  	😃
挂   畜     牲  	在成都49中贴吧里高强度复制粘贴洗地
挂   畜     牲  	纳🐰是这样的
挂   畜     牲  	孩子不是高二的吗？这些人洗地都不洗明白的？
挂   畜     牲  	这就是zhi性
挂   畜     牲  	希望它家s人了他也能这样说
挂   畜     牲  	兔友是这样的
怎么成都49没人发呢  	谁敢发啊我两个帖子删的干干净净
怎么成都49没人发呢  	不懂，感觉贴吧贼安静
怎么成都49没人发呢  	又不是第一天认识越南
怎么成都49没人发呢  	号被封了一天
怎么成都49没人发呢  	这个完全不能发
怎么成都49没人发呢  	秒删的
怎么成都49没人发呢  	嘘，老爷心善，见不得这些😅
怎么成都49没人发呢  	虽欲言，无可进者😅
怎么成都49没人发呢  	这是怎么一回事呢？
怎么成都49没人发呢  	求真求实，至善至美
怎么成都49没人发呢  	发生了什么。
怎么成都49没人发呢  	太能删了
怎么成都49没人发呢  	49中赢麻了😅成都赢麻了😅年度Top1
四川是乘着msi又开始了吗  	楼下放图
四川是乘着msi又开始了吗  	图呢？
四川是乘着msi又开始了吗  	这件事的消息吞得厉害，b站，微博都是这样😅
四川是乘着msi又开始了吗  	我就不信了
四川是乘着msi又开始了吗  	上分啦
四川是乘着msi又开始了吗  	-直在安抚我们的情绪叫我们不要情绪化，我们也是从警方口里得知救护车8点半到学校时我儿子已经停止了心跳甚至没有去医院直接就拉去了殡仪馆自日@成都服务学校那边说他们会走法律程序，除此之外无可奉告,作为一个母亲我真又痛又恨，走投无路的我们也试着打了各种媒体热线均被敷衍了事没有媒体愿意发声自我想问难道这些校长们老师们都没有孩子吗真的不怕报应吗，还有吾儿的同学们，你们可以告诉我到底发生了什么吗，孩子他爸已经体力不支晕倒数次百学校想一直耗着我们，最后拿出一坛骨灰将我们应付了事吗，信息社会难道一条活生生的生命就是这样被轻易想抹杀就抹杀了吗，吾儿是一条活了17年活生生的存在的生命啊!自日日@成都共青团@微成都@成都发布@中国青年
四川是乘着msi又开始了吗  	都可以吞，司马百度
四川是乘着msi又开始了吗  	继续吞
四川是乘着msi又开始了吗  	唉
四川是乘着msi又开始了吗  	cd这教育体制真恐怖
四川是乘着msi又开始了吗  	他儿子咋回事，咋死的到底
四川是乘着msi又开始了吗  	四川和成都真的一次又一次刷新我的世界观，让我一次比一次反感那个地方，反感那个地方的人
四川是乘着msi又开始了吗  	就没几个说得出话的
四川是乘着msi又开始了吗  	明天给你整个丙真出来转移一下视线
四川是乘着msi又开始了吗  	我心硬，多来点
兄弟们，怎么评价爷的大学  	兄弟们，怎么评价爷的大学
兄弟们，怎么评价爷的大学  	😅
兄弟们，怎么评价爷的大学  	什么叫也？这女权不给她冲了？
兄弟们，怎么评价爷的大学  	单机贴吧是吧😅
兄弟们，怎么评价爷的大学  	把也换成都
作为医学生，看到这个新闻挺难受的😭  	作为医学生，看到这个新闻挺难受的😭
作为医学生，看到这个新闻挺难受的😭  	鲁迅原是抱着寻求救国的道路的心愿到日本学医的。他说：“我的梦很美满，预备卒业回来，救治像我父亲似的被误的病人的疾苦，战争时候便去当军医，一面又促进了国人对于维新的信仰。”但他看了影片以后，学医的想法有了改变。他说：“从那一回以后，我便觉得学医并非一件紧要事，凡是愚弱的国民，即使体格如何强健，如何茁壮，也只能做毫无意义的示众的材料和看客。”
作为医学生，看到这个新闻挺难受的😭  	他说的没错，错的是在xx
作为医学生，看到这个新闻挺难受的😭  	他好像不知道vn摄像头比较心善，他那儿的可能更心善
作为医学生，看到这个新闻挺难受的😭  	愿人人都做到如此，水滴虽小，可聚成江海
为什么一个国家能造航母，能造导弹，超级计算机，但是却连一个监  	为什么一个国家能造航母，能造导弹，超级计算机，但是却连一个监控都做不好
为什么一个国家能造航母，能造导弹，超级计算机，但是却连一个监  	别尬黑，🌸为品牌的特色功能顶尖ai
为什么一个国家能造航母，能造导弹，超级计算机，但是却连一个监  	别尬黑，刚好坏了
愿你成为小太阳 发光发热正能量  	发光发热正能量
😅  	主体思想鲨起来了
😅  	还是佩服，人家起码抵制说到做到，不像有些嘴上抵制暗地里子女都送出去了。
又开始了  	打拳打拳
抓包洗地水军  	是真的能洗，是49中的校方是吧😅
抓包洗地水军  	普通学_者
抓包洗地水军  	你说呢
抓包洗地水军  	控评国的网络日常
蜀道难！  	剑阁峥嵘而崔嵬，一夫当关，万夫莫开。所守或匪亲，化为狼与豺。朝避猛虎，夕避长蛇；磨牙吮血，杀人如麻。锦城虽云乐，不如早还家。蜀道之难，难于上青天，侧身西望长咨嗟！
蜀道难！  	难!
大热天的是要暖死印度吗  	援印物资暖人心
大热天的是要暖死印度吗  	怎么没人说话
大热天的是要暖死印度吗  	投降派确实有
大热天的是要暖死印度吗  	我印象里中国红十字唯一一次正面的报道
大热天的是要暖死印度吗  	红十字会，让我想到了郭美美
大热天的是要暖死印度吗  	原来是聚会啊，我还以为你把我给整不会了😅
大热天的是要暖死印度吗  	去年年初印度也象征性给过中国点物资，礼尚往来而已，稍给点没毛病
大热天的是要暖死印度吗  	疫苗自己都不够呢
大热天的是要暖死印度吗  	缅甸挡不住印度难民的
大热天的是要暖死印度吗  	可让🇻🇳装成一把
大热天的是要暖死印度吗  	为了天超体面
大热天的是要暖死印度吗  	红十字会啊
大热天的是要暖死印度吗  	大使不发推你还指望西方媒体帮我们宣传是吧，没有话语权的情况下你告诉我怎么宣传😅
大热天的是要暖死印度吗  	带国风范噢
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚的锤我燃着乌托邦的火我记得你杀人的枪我记得你囚奴的锁我是你心底的克苏鲁我是你梦中的伏地魔我见过被雕饰的空洞我听过被遗忘的沉默我闻到这根系的癌变我触到这枝叶的腐落我不要人变物的自由我不要物御人的快活我要焚你的圣殿我要熔你的王座我要闯群星的海我要立众民的国五百年的因五千年的果最后的斗争最初的承诺我来了，我来了跟着我，跟着我加速，加速转舵，转舵前进，前进力破，力破大风，大风烈火，烈火红旗在肩镰斧如火
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	没人
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	dd
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	你写的？
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	哈人🏃🏃
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	三個月內沒解放你們太哈人了
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	了
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	好家伙，这么返动，太哈人了
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	让你狂的
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	广场舞噪音扰民害我，贵阳报警多次没用
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	属于是有点哈人了
我是你种下的因我是你未来的果我头颅向东我心脏在左我扛着亚细亚  	好！
这也删  	我只能说先穿裤子再穿鞋，光着腚就别考虑穿搭了
这也删  	基因优化，化学极乐
这也删  	毛选第一卷90页，关于绝对平均主义，字都打不明白差不多得了
